id,similarity,interviewer_length,interviewee_length,ratio,cluster
p10,0.8687514066696167,586,5304,9.051194539249147,4.0
p11,0.8228699564933777,409,3638,8.89486552567237,2.0
p12,0.8938734531402588,555,2976,5.3621621621621625,1.0
p13,0.813808262348175,411,3110,7.5669099756691,4.0
p14,0.8253383636474609,393,2853,7.259541984732825,3.0
p15,0.9011079668998718,680,5556,8.170588235294117,2.0
p16,0.842194676399231,448,3268,7.294642857142857,4.0
p17,0.8936744332313538,531,2655,5.0,2.0
p20,0.8864550590515137,531,2272,4.278719397363465,0.0
p21,0.8540952205657959,517,4976,9.624758220502901,4.0
p22,0.8224374651908875,444,2770,6.238738738738738,0.0
p24,0.878381073474884,616,4824,7.8311688311688314,3.0
p25,0.8306866884231567,444,2661,5.993243243243243,4.0
p27,0.8202061653137207,382,2203,5.767015706806283,0.0
p29,0.8389612436294556,348,3185,9.152298850574713,3.0
p3,0.8612308502197266,722,6703,9.28393351800554,4.0
p30,0.9036863446235657,490,1466,2.9918367346938775,1.0
p31,0.9036438465118408,612,4834,7.898692810457517,3.0
p32,0.8508981466293335,505,4890,9.683168316831683,1.0
p33,0.7828413248062134,450,4041,8.98,4.0
p34,0.844765841960907,358,5233,14.61731843575419,3.0
p35,0.8252708911895752,461,2748,5.960954446854664,2.0
p37,0.8205614686012268,423,2654,6.274231678486998,3.0
p4,0.7981259822845459,404,3688,9.128712871287128,4.0
p42,0.9207062721252441,884,5648,6.389140271493213,3.0
p43,0.925555944442749,544,2772,5.095588235294118,1.0
p44,0.875779390335083,516,4087,7.920542635658915,0.0
p45,0.935651421546936,647,5098,7.879443585780526,2.0
p47,0.938861608505249,753,2072,2.751660026560425,2.0
p48,0.8135084509849548,616,3791,6.154220779220779,1.0
p49,0.9080609083175659,575,7152,12.438260869565218,2.0
p5,0.8177158832550049,328,2139,6.521341463414634,3.0
p50,0.7939770817756653,366,4354,11.896174863387978,2.0
p52,0.9120009541511536,706,3470,4.915014164305949,2.0
p53,0.8093453049659729,372,3678,9.887096774193548,4.0
p55,0.7715303897857666,350,2189,6.2542857142857144,4.0
p56,0.8429217338562012,520,4287,8.24423076923077,4.0
p57,0.8478974103927612,391,4775,12.212276214833759,2.0
