participant&question,duration,energy,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgBand2,avgBand3,jitter,shimmer,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3
P1Q1,51.952125,0.015331298910692567,75.23265683492697,396.6356134849851,127.9892220315714,27.821527731530136,217.62869190944105,119.69036704477608,0.7738298599248378,321.4029566500581,268.6463914534137,276.94524644020896,35.146922681149505,72.86780605029898,58.68428471,7.887425781780951,54.27302934,37.720883369149476,14.183521338152879,18.59477670531338,626.4717480559489,460.5545847929735,490.54754746489607,0.023119999999999998,0.17719000000000001,136,0.42117,0.000341647,55,1.2906666666666666,0.494,27.176,138,274.562,257.247
P1Q2,38.6773125,0.015185090128652518,75.16552661448273,397.61304084155176,131.06748974376217,26.452852516390664,195.85224562032067,124.82058278860322,0.7173333333333334,322.44751422706906,266.5455510977896,272.7924580529485,36.601937355610445,73.18680045554578,59.926280260159274,8.233813244355819,55.64922947599867,36.58486309993533,13.260520195386505,17.537570979547105,613.3168173038706,444.2724673766784,496.4023416308512,0.022090000000000002,0.18462,97,0.38674000000000003,0.000444444,40,1.8666666666666671,0.522,20.875,100,268.613,270.193
P1Q3,43.593895833333335,0.014680488971159016,71.03476089860668,395.93068836100036,127.73908642178806,26.00632980493918,189.44173653555026,120.45784752661581,1.0683760683760684,324.8959274623937,268.1916019392123,275.47284083438456,36.927891911319804,75.15532044795755,59.25869016271251,8.469902007077538,54.49842313534956,38.227428536637746,15.896630285245038,20.65689731260799,651.6052729548525,480.24767003380066,524.4368462156812,0.022010000000000002,0.16783,112,0.43099,0.000474834,44,2.6240000000000006,0.505,22.229,114,283.912,203.506
P1Q4,23.4358125,0.008920152,74.93867315858779,248.73373789240907,129.56391399809183,19.33432746636148,103.02464010121872,124.47385145640821,1.1214868540344516,173.79506473382128,119.16982389431723,124.25988643600085,37.05538195863888,72.41651557781698,59.79571697306661,9.313019624,52.22961567944433,35.36113362,12.62079860475037,20.18689989837265,701.8537644321211,465.1882722053282,532.2699037728337,0.02338,0.16456,55,0.46003,0.000906618,24,2.9333333333333336,0.507,12.171,55,100.655,83.172
P1Q5,13.274833333333333,0.003431761,93.94985377256975,263.6691876315708,130.17848197980499,26.595483109486278,174.93460118424974,120.27247956857846,1.0784929356357928,169.71933385900107,133.49070565176584,143.39670806299236,36.35803817,69.97028673,58.12322394947831,8.342690556512022,52.022604134392516,33.61224856,11.847062781467493,17.947682596553285,681.2111625821952,521.6712878795242,531.5153625928741,0.02617,0.18581,32,0.46576,0.001569859,12,2.8480000000000008,0.628,7.541,32,129.591,117.119
P3Q1,61.736020833333335,0.020426769345523402,73.87108468189162,399.8327431756235,125.35708647204063,64.49903620693541,315.1599336613748,95.83182288526119,1.9763627592860589,325.9616584937319,274.47565670358284,304.0009202903623,33.83039969264064,73.49818201653665,59.18037357328678,8.301686299647209,53.802645682144636,39.667782323896006,14.317808443249866,19.69553633439201,692.5224036031324,657.1825525170764,652.3239677378867,0.036930000000000004,0.20373000000000002,171,0.63073,0.000482393,50,3.296000000000001,0.782,39.115,182,307.35,308.024
P3Q2,67.12239583333333,0.022777823407542502,73.40541041285715,422.6505564152903,133.0114979500301,68.80715046021494,377.06538125458957,97.83419241120839,1.8071129707112972,349.2451460024331,289.6390584652602,324.8163640040819,35.343463359598246,73.75258781554786,59.289884371378406,7.596249555132158,55.05618490242037,38.40912445594961,14.462703444169449,18.696402913127486,638.3009349,590.4682151625793,--undefined--,0.03925,0.20677,216,0.6417499999999999,0.00041841,63,2.7093333333333334,0.64,40.345,236,311.776,311.697
P3Q3,133.00175,0.054273313,57.56073432538879,398.9286738459129,126.8897410408202,66.89670892420826,342.3140644162597,96.02491694081682,1.8800086636343947,341.3679395205241,272.0389328050927,302.9037569050961,35.538237441070514,78.00457645710458,60.08887346810358,8.231649275774686,55.06536017715537,42.46633901603406,17.915702989000998,22.939216279949207,657.5356576719171,621.9200532490747,638.1642273732766,0.03939,0.19782,387,0.6667000000000001,0.000216591,126,3.253333333333334,0.671,84.581,417,304.36,299.641
P3Q4,110.21329166666666,0.032555753113304185,75.25454353521714,386.0333983052284,139.2675211,66.06025315329268,247.9190634564593,101.65710494085641,2.9675909254591284,310.77885477001126,246.76587723087638,284.3762934,33.327360838285216,76.18993511675805,58.677348510437575,9.140214061619643,50.03911396622129,42.862574278472835,17.512586606320475,26.150821150536764,764.7466450041004,684.9921616137036,712.3106709639119,0.038290000000000005,0.20046,253,0.7479300000000001,0.000360101,78,9.781333333333336,1.061,82.792,262,295.974,258.743
P3Q5,73.75175,0.021057821895141385,72.58915358729817,394.59493047567145,119.21136521296425,56.38183000274276,212.28033779339918,96.50300221457542,2.2648361381753763,322.00577688837325,275.3835652627072,298.09192826109603,34.73692516648177,75.53269998809253,58.53996825950987,8.489142779671862,53.09539284090029,40.79577482161076,16.992731728582662,22.437307147192243,709.4016313022206,641.9825544065241,665.8623799056753,0.03675,0.19811,191,0.69658,0.00044287,73,2.6560000000000006,0.635,46.375,195,295.705,285.646
