sentence,compound,pos,neu,neg,transcript_id
So  how you doing?,0.0,0.0,1.0,0.0,p10
Great  how about you?,0.6249,0.577,0.423,0.0,p10
I'm okay.,0.2263,0.655,0.345,0.0,p10
I'm a little [???],0.0,0.0,1.0,0.0,p10
by the resurgence of the hurricane  but.. [laughter] I understand  I got to get home later too and I'm worried.,0.3612,0.171,0.717,0.112,p10
Yeah  we were half way here and it just turned on a switch  lightening  winds and everything.,0.296,0.121,0.879,0.0,p10
Oh wow.,0.5859,0.792,0.208,0.0,p10
So yeah.,0.3597,0.714,0.286,0.0,p10
So  uh  tell me about yourself.,0.0,0.0,1.0,0.0,p10
Okay  um  I'm a Junior here at MIT  um  I'm studying aerospace engineering  um  my  my interests are generally in food mechanics  control  um  design  um  mostly aircraft  but protozoan [???],0.3591,0.107,0.893,0.0,p10
problems in general.,-0.4019,0.0,0.426,0.574,p10
Um  I like to  um  I like to play music  listen to music  um  I run  do some other team sports  I like to play hockey.,0.8834,0.369,0.631,0.0,p10
Tell me about a time when you demonstrated leadership.,0.0,0.0,1.0,0.0,p10
Um  okay  so  uh  one of the projects that I've worked on since coming to MIT  um  was during my Freshman year  I worked in the  in the uh  Artificial Intelligence group in  uh  Cesil [sp]  which is a lab  a computer science lab here at MIT.,0.6124,0.1,0.9,0.0,p10
Okay.,0.2263,1.0,0.0,0.0,p10
And  um  I was working on a project with another student  actually another Freshman  uh  basically we were tasked with the  sort of  bringing this project  starting this project  bring it up to the level where it could be presented at conference.,0.0,0.0,1.0,0.0,p10
Mm-hmm.,0.0,0.0,1.0,0.0,p10
Um  together  and we were kind of left  to work out the cooperation on our own and um   there was  um  as the conference got closer  about halfway  um  about halfway through the year Freshman year  ah  there were a bunch of issues that we had with um  with um  basically meeting the expectations that had been set before us in terms of what we were going to present.,0.0,0.0,1.0,0.0,p10
Um  and finishing in a timely basis.,0.0,0.0,1.0,0.0,p10
Mm-hmm.,0.0,0.0,1.0,0.0,p10
And it came down to whether we were really going to be able to  and there were other basically  parts  other people's work in the same group where work depended on us finishing in time  so it really  um  really  we had to make a decision weather we were just going to basically get done what we could  but to the quality standard that  the standard of quality that was expected of us  or to um  try to finish everything and to have other people's work potentially suffer because of our [??],-0.7278,0.0,0.947,0.053,p10
hadn't really been up to snuff.,0.0,0.0,1.0,0.0,p10
And  um  and so  we kind of had a little bit of a disagreement about this  but what ended up happening was  um  I went and talked to the professor and um  sort of decided to um  make them aware of what was happening  because they weren't really aware that we had fallen behind.,-0.6124,0.0,0.912,0.088,p10
And  um  sort of got the other student on board  who had disagreed with me  uh to do this  uh  and to let everyone else know what was going on  and uh  we ended up presenting a lot less than what was originally expected  but  um  I think it was very much for the better.,0.4939,0.066,0.906,0.028,p10
Tell me about a time when you were working on a team and you were faced with a challenge.,0.0772,0.067,0.933,0.0,p10
How did you solve the problem?,-0.2263,0.212,0.471,0.318,p10
Okay  um  so  another  another thing that I spend a lot of my time doing is called  is an organization called Design  Build  Fly here  um  it's  it's a design competition um  run by the IAA  which is an aerospace professional organization.,0.2263,0.044,0.956,0.0,p10
And um   and uh  you can enter a team from any university or group  basically anywhere in the world.,0.0,0.0,1.0,0.0,p10
It's mostly US university though.,0.0,0.0,1.0,0.0,p10
Mm-hmm.,0.0,0.0,1.0,0.0,p10
And  um  these university teams basically build a plane  um  design it  build it  fly it as the competition name suggests and you compete them all at the end of the year  compete against the other universities at the end of the year at one competition.,0.0,0.0,1.0,0.0,p10
Basically  um  last year we had  uh  a design challenge  it was pretty unique  um  and um  so  I'll take that as our challenge  um  so we basically had a year to solve this  um  and I was head of one of the sub-groups last year  the actual design sub-group  and um  I mean  we approached in a methodical way  just like I think that's the best way to solve most problems.,0.8935,0.211,0.753,0.036,p10
Sure.,0.3182,1.0,0.0,0.0,p10
Um  got input from every team member  um  and um  basically  um  looked at  looked at all our possibilities  um   and um we ran the numbers.,0.0,0.0,1.0,0.0,p10
Ultimately  like I think that's the best way to solve most problems.,0.6712,0.436,0.41,0.154,p10
We ended up with um  a design that got the best overall score... Mm-hmm.,0.6369,0.244,0.756,0.0,p10
...on the basis of just  basically incorporating  um  every team member's input.,0.0,0.0,1.0,0.0,p10
Mm-hmm.,0.0,0.0,1.0,0.0,p10
Tell me about one of your weaknesses and how you plan to overcome it.,-0.3612,0.0,0.839,0.161,p10
Okay  um  so one of my  I think definitely since coming here  I've noticed that one of my biggest weaknesses is written communication.,0.2732,0.17,0.738,0.092,p10
Um  I really was not intimidated by the thought of it in high school  but I um  definitely since coming here  I find that perhaps um at the expense of technical skills  my written communication skills have atrophied  maybe is the right word.,0.6581,0.116,0.884,0.0,p10
And  um  so I definitely  I think I'm um  pretty aware of this and um  and um.. I would definitely like to improve it and um... Mm-hmm.,0.9228,0.394,0.606,0.0,p10
...so what I'm going to do is try to force myself whenever I'm writing papers or taking reports for  whether it be for research or for classes  just to go through the proper revision cycle  force myself to make sure that I'm actually being  um  that I'm being succinct in what I'm saying  have other people reading give me feedback.,0.3182,0.038,0.962,0.0,p10
Now why do you think that we should hire you for this position?,0.0,0.0,1.0,0.0,p10
Okay  um  I  um  I mean  I think  I don't know what this position that it is... Whatever position you want at a company that you're looking for.,0.296,0.11,0.89,0.0,p10
Yeah  sure  but if I knew that this position was  I think that I would want it because um  this is really what I thrive off of.,0.4019,0.164,0.836,0.0,p10
I  um  enjoy doing it  um  and I would be excited to come to work every day to do it.,0.6808,0.237,0.763,0.0,p10
Um  which  um  that's like the biggest thing for me.,0.3612,0.217,0.783,0.0,p10
I um  I would be excited to come do it and I know I would put my  you know  put my all into doing a good job at it  because I would be excited to come do it.,0.7717,0.18,0.82,0.0,p10
And  um  I think that um  I have a decent skill set to do this and I think that I'm qualified to contribute in this area.,0.0,0.0,1.0,0.0,p10
Mm-hmm.,0.0,0.0,1.0,0.0,p10
Well thank you.,0.5574,0.821,0.179,0.0,p10
So  tell me about yourself.,0.0,0.0,1.0,0.0,p11
Uhh  I’m a junior at MIT  uhh I’m double majoring in Management and Biology  er  I’m very interested in the world of finance  uh  business  consulting all of those sorts of things.,0.4576,0.088,0.912,0.0,p11
Um  so I’ve tried to take on different leadership roles that would prepare me for uh  those sort of roles in the business world.,0.0,0.0,1.0,0.0,p11
Outside of school  I enjoy running  cross-country and track  I’m on the varsity team at MIT.,0.4939,0.176,0.824,0.0,p11
And umm  I’m also very involved in Greek Life at MIT  so I’m on the Panhellenic Executive Board as Vice President of Programming  and also hold a leadership position in my sorority.,0.0,0.0,1.0,0.0,p11
Great  okay.,0.7184,1.0,0.0,0.0,p11
Can you tell me about a time you demonstrated leadership?,0.0,0.0,1.0,0.0,p11
Umm  so I think this past year  my biggest priority has been my position as Vice President of Programming for Panhellenic and umm  just in that position  uhh  I hold a leadership role on the exec board.,0.0,0.0,1.0,0.0,p11
We have weekly meetings  I’m charge of putting together our programming calendar for our entire year.,0.0,0.0,1.0,0.0,p11
So I have interface with a lot of MIT faculty and bring together the exec board as a whole and the different sororities uhh  to meet and attend different events.,0.0,0.0,1.0,0.0,p11
And I think to put together all these events I’m working together with different people on campus I have to show leadership and show strong communication skills.,0.5106,0.113,0.887,0.0,p11
Great.,0.6249,1.0,0.0,0.0,p11
So  tell me about a time you were working on a team  and faced a challenge.,0.0772,0.08,0.92,0.0,p11
How did you guys overcome that?,0.0,0.0,1.0,0.0,p11
